日期,多空仓位,多头仓位,打分,隔日涨跌
6-1-2015,0,0,5,0.0034
6-2-2015,-1,0,4,-0.0056
6-3-2015,-1,0,4,0.0213
6-4-2015,0,0,5,-0.0015
6-5-2015,0,0,5,0.0532
6-8-2015,1,0,10,-0.0193
6-9-2015,1,1,8,-0.0122
6-10-2015,-1,1,4,-0.006
6-11-2015,0,0,5,0.0039
6-12-2015,-1,0,4,-0.0293
6-15-2015,-1,0,3,-0.0211
6-16-2015,-1,0,0,0.0086
6-17-2015,-1,0,4,-0.0419
6-18-2015,-1,0,0,-0.0552
6-19-2015,-1,0,4,0.0355
6-23-2015,-1,0,1,0.0141
6-24-2015,-1,0,3,-0.0328
6-25-2015,-1,0,4,-0.0798
6-26-2015,1,0,6,-0.0097
6-29-2015,1,1,8,0.0718
6-30-2015,1,1,8,-0.0431
7-1-2015,1,1,8,-0.0161
7-2-2015,1,1,8,-0.0391
7-3-2015,1,1,6,0.0632
7-6-2015,1,1,9,0.0175
7-7-2015,1,1,8,-0.0667
7-8-2015,1,1,8,0.0722
7-9-2015,1,1,8,0.0405
7-10-2015,0,1,5,-0.0148
7-13-2015,-1,0,3,-0.0349
7-14-2015,-1,0,4,-0.0047
7-15-2015,1,0,9,-0.0033
7-16-2015,1,1,9,0.023
7-17-2015,1,1,8,-0.0093
7-20-2015,1,1,6,-0.0032
7-21-2015,1,1,6,-0.0112
7-22-2015,1,1,6,0.0208
7-23-2015,1,1,8,-0.0175
7-24-2015,1,1,6,-0.0914
7-27-2015,0,1,5,-0.004
7-28-2015,1,0,6,0.0201
7-29-2015,0,1,5,-0.0257
7-30-2015,1,0,9,-0.0028
7-31-2015,-1,1,4,0.0065
8-3-2015,1,0,8,0.025
8-4-2015,1,1,6,-0.0193
8-5-2015,1,1,6,-0.008
8-6-2015,1,1,6,0.0134
8-7-2015,1,1,9,0.0447
8-10-2015,0,1,5,-0.0099
8-11-2015,-1,0,4,-0.01
8-12-2015,1,0,6,0.0047
8-13-2015,1,1,6,-0.0004
8-14-2015,1,1,8,-0.0105
